ordem,nome,telefone,whatsapp,site,email,endereco,cidade,bairro,latitude,longitude,fonte,osm_tipo,osm_id
1,Doutor Carlos A Sugaya,"","","","","Rua Ken Sugaya, SP","","",-23.5377119,-46.4537263,OpenStreetMap,node,745741446
2,"","","","","",SP,"","",-23.557795,-46.6339387,OpenStreetMap,node,1004651649
3,Oralcamp,+55 (19) 3342-5050,"","","","Rua Visconde de Taunay, 184, Vila Itapura, Campinas, SP",Campinas,Vila Itapura,-22.8944234,-47.0622379,OpenStreetMap,node,1622921656
4,Odontologia RM,"","",https://www.odontologiarm.com.br/,"","1057, SP","","",-22.8921206,-47.0596958,OpenStreetMap,node,1734576355
5,Odonto Ubatuba,"","","","","Avenida Dona Maria Alves, SP","","",-23.4334316,-45.0805907,OpenStreetMap,node,1770155521
6,Clínica Vicentini,"","","","","Rua Galileu Galilei, 1685, Jardim Canada, Ribeirão Preto, SP",Ribeirão Preto,Jardim Canada,-21.2117037,-47.8114454,OpenStreetMap,node,2406378814
7,Maximplante Clinica de Implantes Dentários,"","",http://maximplante.com.br,"","Rua Benedito Calixto, 182, SP","","",-23.9674743,-46.3761485,OpenStreetMap,node,2441430768
8,"","","","","","Rua José Antônio Coelho, 168, São Paulo, SP",São Paulo,"",-23.5796263,-46.6423623,OpenStreetMap,node,2815876103
9,Dra. Ilka Nagasawa,"","","","",SP,"","",-23.5791407,-46.6445231,OpenStreetMap,node,2815876104
10,Sorridents,"","",https://sorridents.com.br,"","Avenida Puglisi, 591, SP","","",-23.9920275,-46.2589643,OpenStreetMap,node,2817015833
11,Mikado Odontologia,+55 12 3931 8619,"","","","Praça Mikado, 123, Jardim Oriente, São José dos Campos, SP",São José dos Campos,Jardim Oriente,-23.2420203,-45.8955895,OpenStreetMap,node,3009719777
12,Vittá Ortodontia,+55 11 4356 6656,"","","","Rua Luis de Gois, São Bernardo do Campo, SP",São Bernardo do Campo,"",-23.7181443,-46.5616808,OpenStreetMap,node,3052872956
13,Erivelton F. Pasti,"","","","","Rua General Osório, 2267, Centro, Franca, SP",Franca,Centro,-20.5365077,-47.3929264,OpenStreetMap,node,3080792916
14,Clínica Dentária Marlon F. Magalhães,"","","","",SP,"","",-20.5359138,-47.3999374,OpenStreetMap,node,3081075173
15,Dentistas especializados,"","","","","Sumaré, SP",Sumaré,"",-22.8402844,-47.1593851,OpenStreetMap,node,3117065609
16,"","","","","",SP,"","",-23.6629229,-46.5245902,OpenStreetMap,node,3216227535
17,Doutora Maria Augusta N.Prando,+55 11 4399 1223,"","","","Rua Benedito Conrado Filho, 314, Jardim Embaré, São Bernardo do Campo, SP",São Bernardo do Campo,Jardim Embaré,-23.7026097,-46.5731554,OpenStreetMap,node,3332699280
18,"","","","","","Avenida Sapopemba, 760, São Paulo, SP",São Paulo,"",-23.5629247,-46.5729742,OpenStreetMap,node,3417540619
19,Deale Odontologia,"","","","","Avenida Conceição, 4063, São Paulo, SP",São Paulo,"",-23.495125,-46.5783336,OpenStreetMap,node,3495892594
20,"","","","","","Rua Coronel Diogo, 653, São Paulo, SP",São Paulo,"",-23.5781284,-46.6215568,OpenStreetMap,node,3559342072
21,"","","","","","Rua do Oratório, 1024, São Paulo, SP",São Paulo,"",-23.5615648,-46.5926316,OpenStreetMap,node,3670905790
