ordem,nome,telefone,whatsapp,site,email,endereco,cidade,bairro,latitude,longitude,fonte,osm_tipo,osm_id
1,Pronto Socorro do Dente,+55 11 3085-2481,"","","","Alameda Gabriel Monteiro da Silva, 109, São Paulo, SP",São Paulo,"",-23.5621881,-46.6739717,OpenStreetMap,node,6102799986
2,A Odontologia Integrada,"","","","",SP,"","",-22.9110827,-47.0555165,OpenStreetMap,node,6153900433
3,Coife Odonto,"","","","",SP,"","",-23.5275519,-46.1986461,OpenStreetMap,node,6183843628
4,Centro Odontológico do Povo,"","","","",SP,"","",-23.5244813,-46.1976616,OpenStreetMap,node,6183939465
5,Ocrusso Odontologia,+55 11 4332 8789,"","","","Rua Zelinda Zanella, 55, SP","","",-23.7183,-46.5498083,OpenStreetMap,node,6216340733
6,Odonto Sakamoto,"","","","",SP,"","",-23.2080298,-45.8580551,OpenStreetMap,node,6306260911
7,Orthopride,"","","","",SP,"","",-23.1805055,-45.8878278,OpenStreetMap,node,6311555497
8,Sorridents Clinícas Odontológicas,+55 11 4819 6271,"","","","Avenida Cavalheiro Angelo Sestini, 71, SP","","",-23.3283289,-46.7251156,OpenStreetMap,node,6329702138
9,"","","","","","Avenida Mateo Bei, 2592, São Paulo, SP",São Paulo,"",-23.6043017,-46.4812244,OpenStreetMap,node,6358057209
10,Consultório Santa Apolônia,"","","","",SP,"","",-22.010686,-47.892728,OpenStreetMap,node,6403355472
11,Esthetic Aligner,"","","","",SP,"","",-23.6603336,-46.5379528,OpenStreetMap,node,6459606087
12,Over Clin,"","","","",SP,"","",-23.6631268,-46.5267542,OpenStreetMap,node,6466808687
13,Oro Implant,"","","","",SP,"","",-23.6467137,-46.5385004,OpenStreetMap,node,6466825594
14,Spazzi,"","","","",SP,"","",-23.6029095,-46.6933616,OpenStreetMap,node,6482978690
15,"Clinica Odontológica (Dr, Kenzo C. Castro Mastellini).",(14)98199-7674,"",https://www.facebook.com/drkenzoccastromastellini,drkenzocm@gmail.com,"Rua Marquês de Tamandaré, 243, Vila Perin, Lins, SP",Lins,Vila Perin,-21.6746196,-49.7632377,OpenStreetMap,node,6509973579
16,"","","","","","Rua Jorge Rizzo, 103, São Paulo, SP",São Paulo,"",-23.5708529,-46.6972803,OpenStreetMap,node,6518491284
17,"","","","","","Avenida Nossa Senhora do Loreto, 1008, São Paulo, SP",São Paulo,"",-23.4873177,-46.5823027,OpenStreetMap,node,6533892349
18,"","","","","","Rua Fradique Coutinho, 786, São Paulo, SP",São Paulo,"",-23.560215,-46.6884632,OpenStreetMap,node,6610711008
19,Orthimplant Dentistas,+55 11 4354 0381,"","","","Avenida da Praia, SP","","",-23.778847,-46.5311424,OpenStreetMap,node,6632611614
